substituted_id,substituting_id
152,7
152,8
152,15
152,19
152,25
152,30
152,39
152,42
152,44
152,46
152,51
152,60
152,61
152,63
152,66
152,68
152,83
152,94
152,109
152,110
152,111
152,114
152,115
152,118
152,119
152,123
152,124
152,138
152,139
152,153
152,154
152,162
152,168
152,169
152,170
152,171
152,184
152,188
152,189
152,196
152,199
152,200
152,227
152,230
152,232
152,233
152,240
152,241
152,252
152,287
152,301
152,302
152,311
152,312
152,316
152,318
152,329
152,335
152,342
152,348
152,350
152,352
152,355
152,356
152,357
152,358
152,359
152,376
152,378
152,380
152,385
152,388
152,391
152,395
152,403
152,434
152,440
152,441
152,470
152,472
152,484
152,493
152,497
152,511
152,569
152,575
152,602
152,608
152,624
152,625
152,650
152,653
152,655
152,662
152,666
152,684
70,293
70,307
70,340
70,371
70,488
70,492
70,502
70,519
70,668
118,119
118,138
118,227
118,440
12,5
12,6
12,88
12,122
12,132
12,176
12,467
457,144
22,37
37,22
32,84
32,95
32,103
32,130
32,181
32,193
32,244
32,272
32,285
32,313
32,372
32,384